Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Parkinson disease Homo sapiens P00049	6/81	1.5287424163252307E-4	0.017121915062842583	0	0	7.4822297044519255	65.73808398557635	PSMA3;PSMA4;PSMA2;PSMB3;UBE2L6;UBE2L3
CCKR signaling map ST Homo sapiens P06959	8/165	2.441893558659658E-4	0.013674603928494084	0	0	4.897459442913988	40.73494501382357	NFKBIA;ITGB1;MOB1A;CXCL8;RHEB;CLU;CXCL2;IER3
Apoptosis signaling pathway Homo sapiens P00006	6/102	5.343550611785118E-4	0.01994925561733111	0	0	5.941770647653	44.76797404268482	NFKBIA;BCL2A1;TNFSF10;EIF2AK2;CFLAR;TNF
Interferon-gamma signaling pathway Homo sapiens P00035	3/28	0.0026087957970173737	0.07304628231648647	0	0	10.822510822510822	64.38167256027444	SOCS3;STAT1;IFNGR1
Inflammation mediated by chemokine and cytokine signaling pathway Homo sapiens P00031	7/188	0.002736791377233905	0.06130412685003946	0	0	3.761014399312271	22.193629660897653	CCR1;ITGB1;CXCL8;CCL3L3;FPR1;CCL3;ARPC5
Ubiquitin proteasome pathway Homo sapiens P00060	3/43	0.00881749156317996	0.16459317584602592	0	0	7.04721634954193	33.34050636139037	UBE2D1;UBE2L6;UBE2L3
Toll receptor signaling pathway Homo sapiens P00054	3/49	0.012607678708895275	0.2017228593423244	0	0	6.184291898577612	27.046686637635027	NFKBIA;TNFAIP3;CD14
FAS signaling pathway Homo sapiens P00020	2/31	0.037575365000100946	0.5260551100014133	0	0	6.516780710329097	21.38420742575477	CAPG;CFLAR
Interleukin signaling pathway Homo sapiens P00036	3/86	0.05382515838616386	0.6698241932500392	0	0	3.523608174770965	10.296033450044693	CXCL8;STAT1;STAT2
EGF receptor signaling pathway Homo sapiens P00018	3/109	0.09399690023379141	1.0	0	0	2.7800945232137892	6.5735153558301995	STAT1;STAT2;NRG1
Vasopressin synthesis Homo sapiens P04395	1/10	0.09472405357539049	0.9644630909494304	0	0	10.1010101010101	23.805932458725668	SPCS2
JAK/STAT signaling pathway Homo sapiens P00038	1/14	0.13006409184275305	1.0	0	0	7.215007215007214	14.716651773759663	STAT1
Ras Pathway Homo sapiens P04393	2/69	0.14920640519815692	1.0	0	0	2.9278290147855364	5.569974123412097	STAT1;MAP3K7CL
p53 pathway by glucose deprivation Homo sapiens P04397	1/21	0.1886376234670404	1.0	0	0	4.810004810004809	8.022739011628452	RHEB
Oxidative stress response Homo sapiens P00046	1/24	0.21252328787467278	1.0	0	0	4.2087542087542085	6.518113243365953	STAT1
Hypoxia response via HIF activation Homo sapiens P00030	1/24	0.21252328787467278	1.0	0	0	4.2087542087542085	6.518113243365953	HIF1A
PDGF signaling pathway Homo sapiens P00047	2/112	0.30448807384619386	1.0	0	0	1.8037518037518034	2.144883403589404	STAT1;STAT2
Angiogenesis Homo sapiens P00005	2/142	0.41135089209139053	1.0	0	0	1.422677479015507	1.263776748723437	STAT1;HIF1A
VEGF signaling pathway Homo sapiens P00056	1/54	0.4160731339213949	1.0	0	0	1.8705574261129814	1.6402810166043693	HIF1A
B cell activation Homo sapiens P00010	1/57	0.4332914832901502	1.0	0	0	1.7721070352649297	1.4820921599985994	NFKBIA
Integrin signalling pathway Homo sapiens P00034	2/156	0.458508815397191	1.0	0	0	1.2950012950012948	1.0098106201347665	ITGB1;ARPC5
Cytoskeletal regulation by Rho GTPase Homo sapiens P00016	1/70	0.5022523058176744	1.0	0	0	1.4430014430014428	0.9937268172029937	ARPC5
T cell activation Homo sapiens P00053	1/73	0.5169411349805915	1.0	0	0	1.383700013837	0.9130016186445715	NFKBIA
TGF-beta signaling pathway Homo sapiens P00052	1/88	0.5841616516113389	1.0	0	0	1.147842056932966	0.617054102102628	MAP3K7CL
Huntington disease Homo sapiens P00029	1/124	0.7099036646533924	1.0	0	0	0.8145975887911371	0.2791023148740614	ARPC5
Wnt signaling pathway Homo sapiens P00057	1/278	0.9382905117407891	1.0	0	0	0.3633456870866943	0.023143544770738142	TNF
