Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TCA cycle Homo sapiens P00051	1/9	0.027561796520828474	1.0	0	0	35.842293906810035	128.7213135897718	SDHC
Axon guidance mediated by Slit/Robo Homo sapiens P00008	1/18	0.05437596012922433	1.0	0	0	17.921146953405017	52.183389465595496	CXCR4
Interferon-gamma signaling pathway Homo sapiens P00035	1/28	0.0833167803042863	1.0	0	0	11.52073732718894	28.630245459301577	SOCS3
FAS signaling pathway Homo sapiens P00020	1/31	0.09182782112653406	1.0	0	0	10.40582726326743	24.847450206964346	CAPG
Inflammation mediated by chemokine and cytokine signaling pathway Homo sapiens P00031	2/188	0.11540762158985897	1.0	0	0	3.4317089910775564	7.410037344256107	CXCR4;JUNB
p53 pathway Homo sapiens P00059	1/71	0.19814590523654665	1.0	0	0	4.543389368468878	7.354618921069692	GADD45B
Parkinson disease Homo sapiens P00049	1/81	0.2227510290868698	1.0	0	0	3.9824771007566704	5.980488222713192	YWHAH
TGF-beta signaling pathway Homo sapiens P00052	1/88	0.23953108063507675	1.0	0	0	3.6656891495601176	5.238534081907522	JUNB
Apoptosis signaling pathway Homo sapiens P00006	1/102	0.27202899800019026	1.0	0	0	3.1625553447185326	4.117161948367477	TNFSF10
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway Homo sapiens P00027	1/106	0.28106045713004546	1.0	0	0	3.0432136335970785	3.862402565005571	RGS1
EGF receptor signaling pathway Homo sapiens P00018	1/109	0.28776161908017267	1.0	0	0	2.9594554601953242	3.686365353997326	YWHAH
PDGF signaling pathway Homo sapiens P00047	1/112	0.2944013183132487	1.0	0	0	2.880184331797235	3.5219222758388358	ELF1
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway Homo sapiens P00026	1/127	0.3266971119820211	1.0	0	0	2.54000508001016	2.8415590560922315	RGS1
