Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
T cell activation Homo sapiens P00053	4/73	0.001005450804170729	0.11261049006712166	0	0	9.05694554511491	62.5139298238946	CD74;JUN;HLA-DRA;HLA-DPA1
General transcription by RNA polymerase I Homo sapiens P00022	1/15	0.08703457658957885	1.0	0	0	11.019283746556473	26.903028178717715	POLR1D
Enkephalin release Homo sapiens P05913	1/17	0.0980565383627986	1.0	0	0	9.722897423432183	22.57861978218521	GNAI2
Opioid prodynorphin pathway Homo sapiens P05916	1/18	0.10351792932446745	1.0	0	0	9.182736455463727	20.82654225060825	GNAI2
Opioid proenkephalin pathway Homo sapiens P05915	1/18	0.10351792932446745	1.0	0	0	9.182736455463727	20.82654225060825	GNAI2
Opioid proopiomelanocortin pathway Homo sapiens P05917	1/18	0.10351792932446745	1.0	0	0	9.182736455463727	20.82654225060825	GNAI2
Inflammation mediated by chemokine and cytokine signaling pathway Homo sapiens P00031	3/188	0.10583061063317406	1.0	0	0	2.6375945138034114	5.923814337829643	JUN;CCL5;GNAI2
DNA replication Homo sapiens P00017	1/19	0.10894652267626195	1.0	0	0	8.69943453675511	19.28576019829651	XRN2
Apoptosis signaling pathway Homo sapiens P00006	2/102	0.12684141347517913	1.0	0	0	3.2409658078107277	6.692003518421236	JUN;ATF6B
Synaptic vesicle trafficking Homo sapiens P05734	1/23	0.13033680879903872	1.0	0	0	7.186489399928135	14.643430413533112	UNC13D
Oxidative stress response Homo sapiens P00046	1/24	0.13560432072804943	1.0	0	0	6.887052341597796	13.760427274154996	JUN
Hypoxia response via HIF activation Homo sapiens P00030	1/24	0.13560432072804943	1.0	0	0	6.887052341597796	13.760427274154996	EGLN2
PDGF signaling pathway Homo sapiens P00047	2/112	0.1473984690346896	1.0	0	0	2.9515938606847696	5.651167903625581	JUN;ARHGAP4
5HT1 type receptor mediated signaling pathway Homo sapiens P04373	1/29	0.1614709900485726	1.0	0	0	5.699629524080935	10.392874212805433	GNAI2
Metabotropic glutamate receptor group II pathway Homo sapiens P00040	1/30	0.166551449837356	1.0	0	0	5.509641873278237	9.875763136433164	GNAI2
FAS signaling pathway Homo sapiens P00020	1/31	0.17160138113774454	1.0	0	0	5.3319114902692615	9.397926117688137	JUN
Muscarinic acetylcholine receptor 2 and 4 signaling pathway Homo sapiens P00043	1/39	0.2109234127459918	1.0	0	0	4.238186056367875	6.595720212606238	GNAI2
Integrin signalling pathway Homo sapiens P00034	2/156	0.24342101193296098	1.0	0	0	2.1190930281839373	2.9941995664259133	ITGA4;ITGB2
Toll receptor signaling pathway Homo sapiens P00054	1/49	0.257482053509444	1.0	0	0	3.3732501264968797	4.576843502837304	JUN
CCKR signaling map ST Homo sapiens P06959	2/165	0.2635795421329301	1.0	0	0	2.0035061357375405	2.6714752594569418	JUN;ARHGAP4
Dopamine receptor mediated signaling pathway Homo sapiens P05912	1/52	0.2709107329107786	1.0	0	0	3.1786395422759064	4.151194886266277	GNAI2
Metabotropic glutamate receptor group III pathway Homo sapiens P00039	1/54	0.27972909123089545	1.0	0	0	3.0609121518212428	3.8993990679267543	GNAI2
B cell activation Homo sapiens P00010	1/57	0.2927586708792233	1.0	0	0	2.8998115122517034	3.56214776925198	JUN
Ras Pathway Homo sapiens P04393	1/69	0.3425803263994981	1.0	0	0	2.3954964666427117	2.566173479803716	JUN
Interleukin signaling pathway Homo sapiens P00036	1/86	0.4072572721420906	1.0	0	0	1.9219680953296177	1.7265234959771627	IL10RA
TGF-beta signaling pathway Homo sapiens P00052	1/88	0.4144387152215139	1.0	0	0	1.8782870022539444	1.6544518550682656	JUN
Huntington disease Homo sapiens P00029	1/124	0.5298989245357127	1.0	0	0	1.3329778725673154	0.8465329232822137	JUN
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway Homo sapiens P00026	1/127	0.5384327337522713	1.0	0	0	1.3014902062861977	0.8057430914260046	GNAI2
Angiogenesis Homo sapiens P00005	1/142	0.5788510571823955	1.0	0	0	1.1640088464672331	0.6363753648965069	JUN
