Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytoskeletal regulation by Rho GTPase Homo sapiens P00016	5/70	5.26116900393347E-4	0.058925092844054866	0	0	7.558578987150415	57.06717404251934	VASP;ARPC3;RAC2;RHOC;ACTG1
Axon guidance mediated by Slit/Robo Homo sapiens P00008	2/18	0.012304403954004799	0.6890466214242688	0	0	11.757789535567312	51.70838372305179	RAC2;RHOC
Integrin signalling pathway Homo sapiens P00034	5/156	0.0164150475410987	0.6128284415343515	0	0	3.3916700583367247	13.938260859565375	VASP;ARPC3;RAC2;RHOC;ACTG1
Ras Pathway Homo sapiens P04393	3/69	0.027604166776664045	0.7729166697465932	0	0	4.6008741660915575	16.51616538985459	JUN;RAC2;RHOC
Huntington disease Homo sapiens P00029	4/124	0.0301871712212967	0.6761926353570461	0	0	3.4135518006485746	11.948585898100838	JUN;RAC2;ARF5;ACTG1
Axon guidance mediated by netrin Homo sapiens P00009	2/30	0.03249396364079431	0.6065539879614937	0	0	7.054673721340388	24.174257079552525	VASP;RAC2
Pentose phosphate pathway Homo sapiens P02762	1/8	0.07315833720777766	1.0	0	0	13.227513227513228	34.59165587140559	TKT
Vitamin D metabolism and pathway Homo sapiens P04396	1/8	0.07315833720777766	1.0	0	0	13.227513227513228	34.59165587140559	CYP27A1
Vasopressin synthesis Homo sapiens P04395	1/10	0.09060022102856996	1.0	0	0	10.582010582010582	25.41056747436232	SEC11A
B cell activation Homo sapiens P00010	2/57	0.10123698319950288	1.0	0	0	3.71298616912652	8.503819334457349	JUN;RAC2
Inflammation mediated by chemokine and cytokine signaling pathway Homo sapiens P00031	4/188	0.10313530837539125	1.0	0	0	2.251491613193741	5.1147438462662755	JUN;ARPC3;RHOC;ACTG1
General transcription by RNA polymerase I Homo sapiens P00022	1/15	0.1327896508776999	1.0	0	0	7.054673721340388	14.24330846641493	POLR1D
Axon guidance mediated by semaphorins Homo sapiens P00007	1/17	0.14911505028991673	1.0	0	0	6.224712107065048	11.845858209735786	RAC2
T cell activation Homo sapiens P00053	2/73	0.1515661358846441	1.0	0	0	2.899180981372762	5.469981035866036	JUN;HLA-DPA1
Endothelin signaling pathway Homo sapiens P00019	2/75	0.15816614061460776	1.0	0	0	2.8218694885361555	5.203835698175198	GNAS;SEC11A
TGF-beta signaling pathway Homo sapiens P00052	2/88	0.20217163210032438	1.0	0	0	2.405002405002405	3.844728904468362	JUN;CITED2
Oxidative stress response Homo sapiens P00046	1/24	0.20388342123560804	1.0	0	0	4.409171075837742	7.011494325473296	JUN
Alzheimer disease-presenilin pathway Homo sapiens P00004	2/99	0.24036358787018816	1.0	0	0	2.1377799155576933	3.0476245044290584	CD44;ACTG1
FAS signaling pathway Homo sapiens P00020	1/31	0.2551440019839143	1.0	0	0	3.4135518006485746	4.662663183314757	JUN
Toll receptor signaling pathway Homo sapiens P00054	1/49	0.3723752074302826	1.0	0	0	2.15959399632869	2.1333620794775903	JUN
Angiogenesis Homo sapiens P00005	2/142	0.3889324287598575	1.0	0	0	1.4904240256352932	1.4074814150676833	JUN;RHOC
VEGF signaling pathway Homo sapiens P00056	1/54	0.4015481994798117	1.0	0	0	1.9596315892612188	1.7880221522300197	RAC2
CCKR signaling map ST Homo sapiens P06959	2/165	0.46342598912588967	1.0	0	0	1.282667949334616	0.9865109315215049	JUN;RPS6
Nicotinic acetylcholine receptor signaling pathway Homo sapiens P00044	1/68	0.4762513396174245	1.0	0	0	1.556178026766262	1.1543877057270409	ACTG1
FGF signaling pathway Homo sapiens P00021	1/99	0.6102766196965284	1.0	0	0	1.0688899577788467	0.5278637696447149	RAC2
Apoptosis signaling pathway Homo sapiens P00006	1/102	0.6212756340475746	1.0	0	0	1.0374520178441746	0.4938068683205142	JUN
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway Homo sapiens P00027	1/106	0.6354620883439773	1.0	0	0	0.9983028850953379	0.4526333698251915	RGS19
EGF receptor signaling pathway Homo sapiens P00018	1/109	0.6457538853778853	1.0	0	0	0.9708266589000535	0.424578253656558	RAC2
PDGF signaling pathway Homo sapiens P00047	1/112	0.655756612516465	1.0	0	0	0.9448223733938019	0.3986825173728837	JUN
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway Homo sapiens P00026	1/127	0.7017091735982279	1.0	0	0	0.8332291796858726	0.2951599745187581	RGS19
Cadherin signaling pathway Homo sapiens P00012	1/150	0.7605937192718881	1.0	0	0	0.7054673721340389	0.19305533764998464	ACTG1
