"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RPL41"	7.81524536230146e-66	0.838809590940207	0.984	0.921	1.28349774585077e-61
"EEF1A1"	1.35051284675985e-65	0.88687356702066	0.963	0.902	2.2179472482337e-61
"RPL39"	4.33077811150845e-51	0.732350033907037	0.962	0.836	7.11243689253034e-47
"H3F3A"	1.32008887515795e-30	0.730764542297651	0.622	0.233	2.16798195967191e-26
"RPS29"	3.95921139831518e-29	0.362363047330778	0.996	1	6.50221287945302e-25
"AC090498.1"	1.52969590068757e-28	1.43411065427394	0.457	0.121	2.5122195776992e-24
"TMSB4X"	2.54128906853831e-26	0.251364107955205	0.999	1	4.17355903726046e-22
"RPL22"	2.24219514421178e-25	0.508483158376631	0.842	0.721	3.682357085339e-21
"RPS25"	9.23502458632667e-23	0.278865932379023	0.98	0.987	1.51666808781243e-18
"RPS28"	3.96574534214167e-22	0.32604016039018	0.992	0.984	6.51294357539927e-18
"NBEAL1"	1.22710904703202e-16	0.830545475241808	0.44	0.21	2.01528118794069e-12
"HMGN2"	1.96639805761031e-14	0.627872849269774	0.406	0.18	3.22941553001342e-10
"TMA7"	3.16068366167351e-11	0.345468605516109	0.821	0.738	5.19079077756641e-07
"RPL36A"	2.51159747635689e-10	0.430124716251369	0.831	0.741	4.12479653542093e-06
"GPR183"	4.31309686029169e-09	0.691739562121903	0.273	0.131	7.08339897365705e-05
"S100A11"	5.68053795737538e-09	0.411765022180648	0.624	0.505	9.32914748739759e-05
"EIF5A"	9.61661716563359e-09	0.433709247355705	0.411	0.239	0.0001579337037112
"FAM215B"	9.67478128442626e-09	0.437803709732208	0.141	0.023	0.000158888933034132
"CDC26"	1.52421992306105e-08	0.411982937401387	0.154	0.033	0.000250322637964317
"TRAC"	4.47275723886886e-08	0.276646125830557	0.828	0.807	0.000734560921339433
"HNRNPA1"	3.99899005814702e-07	0.269377542400063	0.746	0.685	0.00656754137249486
"RGCC"	5.75959389316152e-06	0.403411477916322	0.194	0.089	0.0945898105073917
"PGAM1"	2.05567028414746e-05	0.36679504633216	0.22	0.118	0.337602730765537
"M6PR"	2.44201448126852e-05	0.318476766928553	0.214	0.108	0.401052038258729
"RPL17"	0.000136684425478331	0.346053248397188	0.512	0.433	1
"CALM2"	0.000154757489663101	0.290549375385183	0.618	0.564	1
"CXCR4"	0.000168033455835755	0.375596702896894	0.344	0.252	1
"ITGB1"	0.000468233161183502	0.340897121656866	0.312	0.226	1
"GIMAP7"	0.000558349732884202	0.254167872725349	0.666	0.649	1
"ARL6IP1"	0.000652375747160767	0.285129851803747	0.212	0.128	1
"TNFRSF4"	0.000705258739872084	0.322666174926994	0.15	0.079	1
"CD40LG"	0.000879473868190368	0.282580555347653	0.141	0.072	1
"PPIA"	0.00150085403629601	0.270663588435194	0.538	0.485	1
"NDUFA13"	0.00168362897260291	0.30434321348545	0.341	0.259	1
"COX6A1"	0.0018243681059314	0.262625748403107	0.5	0.443	1
"ATP5EP2"	0.00332990642190177	0.324608587709118	0.152	0.092	1
"JUNB"	0.00417703496891385	0.298668589368768	0.636	0.652	1
"PIM2"	0.00482542819268961	0.304998974327896	0.207	0.141	1
"ZFP36"	0.00611047388072892	0.253281372720199	0.219	0.154	1
"CAPG"	0.00619366713338875	0.279742764318029	0.12	0.069	1
"TRAT1"	0.0101598186205347	0.26143761545926	0.297	0.239	1
"RGS1"	0.0142420618372854	0.377896709138182	0.146	0.098	1
"SRSF9"	0.0164748756151653	0.263579257375847	0.22	0.167	1
"PRDX1"	0.0182791348683001	0.251916930723805	0.326	0.272	1
"DNAJB1"	0.0196572203031491	0.27542302517454	0.211	0.157	1
"ATP5I"	0.0212796576964863	0.271333861753774	0.408	0.37	1
"ISG15"	0.0637922323360339	0.275213014577765	0.295	0.252	1
"DUSP2"	0.119246649719501	0.35423438303497	0.179	0.151	1
"KLF2"	0.125538457287302	0.266686666964114	0.189	0.161	1
